seed,steps,reached_90,final_coverage,total_distance,final_redundancy,mean_redundancy,total_reward,mean_reward,mean_alpha,mean_beta,mean_gamma,mean_delta,checkpoint
111,548,True,90.10000000000001,2740.0,88.2900328814837,87.32536073358276,675.7099671185166,1.2330473852527675,0.2022455968727514,0.6625503297813617,0.0,0.0,ppo_b_25k
112,537,True,90.03999999999999,2685.0,88.03343832648885,86.4945458462253,678.116561673512,1.2627868932467636,0.2030285049873288,0.6633805310981455,0.0,0.0,ppo_b_25k
113,594,True,90.05,2970.0,89.27376031827332,88.52591196569024,662.7262396817264,1.1157007402049266,0.20656677875558058,0.661549657056428,0.0,0.0,ppo_b_25k
114,527,True,90.0,2635.0,87.90436383673578,87.38116463400208,680.3456361632635,1.2909784367424355,0.19964783921470225,0.6561031833545533,0.0,0.0,ppo_b_25k
105,636,True,90.09,3180.0,89.99933395497536,88.81111577808942,651.9006660450248,1.025001047240605,0.35471980845549805,0.9973440444413221,0.18739520304224236,0.00025403018419941265,ppo_b_50k
106,531,True,90.03,2655.0,87.97322931416815,88.58672375573404,679.5767706858322,1.279805594511925,0.3898502655692132,0.9972974194420708,0.18873050270809066,0.00022480300787254017,ppo_b_50k
107,670,True,90.03,3350.0,90.54793226175603,87.84268405297786,642.2520677382448,0.9585851757287236,0.38764629573213744,0.9958733750368232,0.19125181186332632,0.00042528021635849085,ppo_b_50k
108,598,True,90.10000000000001,2990.0,89.39451009934555,88.28905268932758,662.1054899006544,1.107199815887382,0.36329596364297545,0.9970571544756459,0.1908067405655245,0.0002699548092025977,ppo_b_50k
109,556,True,90.02,2780.0,88.49467038163647,87.27278555871908,672.7053296183639,1.2099016719754745,0.41543002050745187,0.9969649657928686,0.19437430616763,0.0002738963544583149,ppo_b_50k
110,605,True,90.0,3025.0,89.47503829916619,87.35022599622883,659.2749617008338,1.089710680497246,0.3980660993421127,0.9969918702752137,0.19281255448898993,0.0002851879485875122,ppo_b_50k
111,517,True,90.01,2585.0,87.70237591026464,87.2457369498424,683.1476240897358,1.3213687119724098,0.40686825836145785,0.9967226473690232,0.19265072878515005,0.0003142367933140041,ppo_b_50k
112,598,True,90.01,2990.0,89.3998633911958,88.670228551415,661.2001366088051,1.1056858471719149,0.39525665217593164,0.9961258981837875,0.1927042802777079,0.0003671033532174933,ppo_b_50k
113,518,True,90.05,2590.0,87.69001531058618,87.31340927002181,683.3099846894135,1.3191312445741572,0.39605519750504303,0.9955137968638689,0.19136818769499372,0.0004237988517839016,ppo_b_50k
114,592,True,90.03999999999999,2960.0,89.26894381808214,88.19401843476419,663.1310561819175,1.120153811118104,0.4093499169747874,0.9971557120112954,0.19000035566136217,0.00024398054763976788,ppo_b_50k
105,515,True,90.14999999999999,2575.0,87.59238614311077,87.04221431280507,685.1576138568896,1.3304031337026982,0.26521624209522043,0.9989271136163508,0.13175508093034613,0.0012694984602118,ppo_b_75k
106,557,True,90.10000000000001,2785.0,88.52068442711717,87.51364276798473,673.2293155728828,1.2086702254450319,0.2939142896459376,0.9994995722436819,0.14916592451812336,0.001030327615125817,ppo_b_75k
107,515,True,90.0,2575.0,87.69264430374554,86.95888483477773,683.5573556962551,1.327295836303408,0.2698863713134044,0.9982684195620343,0.13567219374213116,0.0019458405456496675,ppo_b_75k
108,577,True,90.02,2885.0,89.01887114678507,87.93792271875775,666.9311288532144,1.1558598420333006,0.27946930040526274,0.9991209690864206,0.14079434628577409,0.00128272797531437,ppo_b_75k
109,505,True,90.05,2525.0,87.44352724636065,85.50542245559706,686.8064727536387,1.3600128173339379,0.27555088516656717,0.9991396296142352,0.13834515707106285,0.0015041773862177782,ppo_b_75k
110,617,True,90.03,3085.0,89.68433113720997,88.1273010154348,656.36566886279,1.063801732354603,0.31304583610661896,0.9991192332736097,0.1600452539061213,0.0010404185221396158,ppo_b_75k
111,608,True,90.06,3040.0,89.50838769804287,89.2245420815395,659.0916123019576,1.0840322570755883,0.20585312619866608,0.9993218967789098,0.09763722175404455,0.0010174394303344581,ppo_b_75k
112,515,True,90.02,2575.0,87.54393247543932,86.9039608075714,683.9060675245615,1.327972946649634,0.21396102037877568,0.9983635530888456,0.10344931303604858,0.0014551696412771651,ppo_b_75k
113,561,True,90.07,2805.0,88.60032147422511,88.42699528213222,671.8496785257745,1.1975930098498655,0.2743843029404255,0.9984977359015249,0.1397187738005344,0.001340590331059301,ppo_b_75k
114,533,True,90.02,2665.0,88.13246499854984,86.63401103442682,678.8175350014501,1.2735788649182929,0.24662759165868414,0.9990388757739684,0.12129656096839994,0.0013147842481480755,ppo_b_75k
105,584,True,90.06,2920.0,89.07304052414462,87.0533447362981,665.5269594758558,1.1396009580066024,0.2884103363006669,0.9996419571442147,0.0,0.0,ppo_b_100k
106,518,True,90.01,2590.0,87.6835292346848,87.14595925141458,682.9164707653151,1.318371565184006,0.28961111521923694,1.0,0.0,0.0,ppo_b_100k
107,552,True,90.08,2760.0,88.47521813669046,86.60812805431792,674.3247818633095,1.2216028656944011,0.29302903919723694,0.9994334649780522,0.0,0.0,ppo_b_100k
108,501,True,90.03999999999999,2505.0,87.22202511885332,87.21790947892806,687.9279748811462,1.373109730301689,0.26312943024118385,0.9995825078910934,0.0,0.0,ppo_b_100k
109,550,True,90.06,2750.0,88.20416770357176,87.27566694654728,674.8958322964277,1.2270833314480503,0.2632675931416452,0.9998972212184559,0.0,0.0,ppo_b_100k
110,517,True,90.01,2585.0,87.73321340474536,86.45472409160998,683.1167865952551,1.3213090649811512,0.30620133250995,0.9995954283432066,0.0,0.0,ppo_b_100k
111,586,True,90.07,2930.0,89.11185522768758,86.88836907856063,665.0881447723117,1.1349627043896104,0.2730963395180581,0.9999033219781752,0.0,0.0,ppo_b_100k
