strategy,run_id,map_seed,timestep,coverage,total_distance,overlap_percentage
random,5,5,316,3.51,1580,99.11403907314858
random,5,5,317,3.51,1585,99.116914484112
random,5,5,318,3.51,1590,99.11985957873621
random,5,5,319,3.51,1595,99.12280701754386
random,5,5,320,3.51,1600,99.12573478130916
random,5,5,321,3.51,1605,99.12864306638201
random,5,5,322,3.51,1610,99.13153206650831
random,5,5,323,3.51,1615,99.13438062590939
random,5,5,324,3.51,1620,99.13710450623202
random,5,5,325,3.51,1625,99.1399166870865
random,5,5,326,3.51,1630,99.14260589183644
random,5,5,327,3.51,1635,99.14527833244045
random,5,5,328,3.51,1640,99.14793416516969
random,5,5,329,3.51,1645,99.15047075053852
random,5,5,330,3.55,1650,99.14354644149577
random,5,5,331,3.55,1655,99.14628574176947
random,5,5,332,3.55,1660,99.14900757503116
random,5,5,333,3.55,1665,99.15181344674345
random,5,5,334,3.55,1670,99.15458074349264
random,5,5,335,3.55,1675,99.15733004177744
random,5,5,336,3.55,1680,99.15998201651641
random,5,5,337,3.55,1685,99.16261735151201
random,5,5,338,3.55,1690,99.16523620288288
random,5,5,339,3.55,1695,99.1677411792287
random,5,5,340,3.5700000000000003,1700,99.16555641259379
random,5,5,341,3.5700000000000003,1705,99.16804548950152
random,5,5,342,3.5700000000000003,1710,99.17051976114686
random,5,5,343,3.5700000000000003,1715,99.17307514129529
random,5,5,344,3.58,1720,99.17330562290728
random,5,5,345,3.58,1725,99.17574194736721
random,5,5,346,3.5999999999999996,1730,99.17357269116872
random,5,5,347,3.63,1735,99.16912724026643
random,5,5,348,3.63,1740,99.17164894345306
random,5,5,349,3.63,1745,99.17424931756142
random,5,5,350,3.63,1750,99.17683341648147
random,5,5,351,3.6799999999999997,1755,99.16811718697018
random,5,5,352,3.71,1760,99.16405669092629
random,5,5,353,3.71,1765,99.16674153265654
random,5,5,354,3.7199999999999998,1770,99.16707715731494
random,5,5,355,3.7199999999999998,1775,99.16975405079677
random,5,5,356,3.7199999999999998,1780,99.17243220395542
random,5,5,357,3.7199999999999998,1785,99.17509313464609
random,5,5,358,3.7199999999999998,1790,99.17771883289124
random,5,5,359,3.7199999999999998,1795,99.18030980763723
random,5,5,360,3.7199999999999998,1800,99.18288450555727
random,5,5,361,3.7199999999999998,1805,99.18546091526166
random,5,5,362,3.7199999999999998,1810,99.1879325023467
random,5,5,363,3.7199999999999998,1815,99.19038913554454
random,5,5,364,3.7199999999999998,1820,99.19274337051344
random,5,5,365,3.7199999999999998,1825,99.19508395360914
random,5,5,366,3.7199999999999998,1830,99.19741100323624
random,5,5,367,3.7199999999999998,1835,99.19972463643404
random,5,5,368,3.7199999999999998,1840,99.20209343228518
random,5,5,369,3.7199999999999998,1845,99.20444824636442
random,5,5,370,3.7199999999999998,1850,99.20670462542384
random,5,5,371,3.7199999999999998,1855,99.20903234037124
random,5,5,372,3.7199999999999998,1860,99.21126282758036
random,5,5,373,3.7199999999999998,1865,99.21348077045056
random,5,5,374,3.7199999999999998,1870,99.2156862745098
random,5,5,375,3.7199999999999998,1875,99.21796165489405
random,5,5,376,3.7199999999999998,1880,99.22032193158954
random,5,5,377,3.7199999999999998,1885,99.22257053291536
random,5,5,378,3.7199999999999998,1890,99.2248062015504
random,5,5,379,3.7199999999999998,1895,99.22702904874704
random,5,5,380,3.7199999999999998,1900,99.22925515383818
random,5,5,381,3.7199999999999998,1905,99.23138907828675
random,5,5,382,3.7199999999999998,1910,99.23351121917045
random,5,5,383,3.7600000000000002,1915,99.22740255203732
random,5,5,384,3.8,1920,99.22140720403229
random,5,5,385,3.81,1925,99.2215752375115
random,5,5,386,3.81,1930,99.22370056439618
random,5,5,387,3.81,1935,99.2257985857108
random,5,5,388,3.84,1940,99.22180565406829
random,5,5,389,3.84,1945,99.22389748979344
random,5,5,390,3.84,1950,99.2259937111989
random,5,5,391,3.8699999999999997,1955,99.22211055276382
random,5,5,392,3.8699999999999997,1960,99.22427789693118
random,5,5,393,3.92,1965,99.21642313150899
random,5,5,394,3.92,1970,99.21857869032193
random,5,5,395,3.9800000000000004,1975,99.20887334022423
