timestep,alpha,beta,gamma,delta
267,-0.10586714744567871,0.1223854050040245,-2.7203993797302246,-0.7640663385391235
268,-1.1945946216583252,-0.023990193381905556,0.6048256754875183,-0.4144267439842224
269,2.730628490447998,1.3977956771850586,-0.827440619468689,1.028488039970398
270,1.1794620752334595,1.1435030698776245,-1.6806846857070923,-0.012362927198410034
271,0.22773931920528412,-0.9087952375411987,0.06570207327604294,-0.6352233290672302
272,-1.0454126596450806,-0.4655027985572815,0.6226766705513,-0.2712644040584564
273,-0.34348198771476746,-0.7610076665878296,-0.24712270498275757,-0.2557829022407532
274,-0.24264878034591675,0.2812482416629791,0.7053065299987793,-1.9049237966537476
275,-0.874290943145752,-0.49011021852493286,0.5840871930122375,-1.7956786155700684
276,-0.5388361811637878,-0.9508554339408875,-1.0477102994918823,-0.8087232708930969
277,2.118713855743408,-0.7112223505973816,0.31821736693382263,-0.07314127683639526
278,0.14329463243484497,1.1451537609100342,0.9197235703468323,0.07944022864103317
279,-0.4659968316555023,0.9514937400817871,1.2200084924697876,0.0810588002204895
280,0.7100909948348999,-1.2651746273040771,-1.770407795906067,-1.2917617559432983
281,0.6150798797607422,2.1842563152313232,1.7910923957824707,1.0542415380477905
282,-1.204160213470459,-1.3755886554718018,-0.46169233322143555,-1.3269002437591553
283,-1.3137236833572388,0.27340468764305115,-0.02310405857861042,0.1652904599905014
284,0.08606398850679398,2.8204281330108643,0.3956139087677002,0.6964743137359619
285,1.439143419265747,0.0077523281797766685,0.5339682698249817,-0.2634386718273163
286,-1.6153982877731323,1.1364352703094482,1.7208116054534912,-0.9295592308044434
287,-0.12888336181640625,0.06452908366918564,-2.4297776222229004,0.646353006362915
288,0.8854135274887085,-0.4105066657066345,0.15836285054683685,0.6102780699729919
289,-0.40167751908302307,0.7962939143180847,2.313977003097534,-1.304473638534546
290,-0.006262722425162792,0.3878173232078552,-0.9754188656806946,1.2879204750061035
291,-0.39476925134658813,-1.1996634006500244,-0.24377357959747314,0.16083917021751404
292,-2.3285071849823,0.3682774603366852,1.1124359369277954,-0.7666378021240234
293,-0.4143750071525574,-2.8888542652130127,-0.34331783652305603,-0.0920264720916748
294,-1.2016804218292236,-1.637062430381775,-0.5896978378295898,0.6734849214553833
295,-1.7568256855010986,0.6780914068222046,0.43132635951042175,-1.6888800859451294
296,-0.703906238079071,0.17981822788715363,0.3099835216999054,-0.912494421005249
297,-1.130936622619629,1.9410618543624878,1.7495431900024414,0.44168025255203247
298,-1.5603059530258179,0.834278404712677,-0.23890775442123413,-0.1900755763053894
299,-2.2497503757476807,-0.19125354290008545,-0.31164833903312683,-3.492083787918091
300,-1.3548188209533691,-0.29779407382011414,0.6229504346847534,1.6244115829467773
301,0.2025333046913147,-1.8222992420196533,-1.6011548042297363,-0.21750010550022125
302,1.9661883115768433,-0.7853594422340393,-1.0676376819610596,-0.03545640408992767
303,0.8388922810554504,-0.16876870393753052,-1.289102554321289,0.6661975383758545
304,-0.6218783855438232,-0.8034975528717041,0.32570499181747437,1.4255576133728027
305,1.411841869354248,-0.42106467485427856,0.1386951208114624,0.40694135427474976
306,-0.24758751690387726,-0.8226396441459656,1.5267274379730225,-0.6112973690032959
307,-1.7987687587738037,1.4163802862167358,0.9420068264007568,1.1793582439422607
308,0.0494188591837883,-2.356755256652832,0.0020785676315426826,-0.3708866238594055
309,-0.7786037921905518,0.31370124220848083,1.4050734043121338,-1.083421230316162
310,-1.2781763076782227,-2.2994866371154785,0.009812677279114723,-0.36450037360191345
311,1.122743844985962,-1.43038809299469,-1.7356091737747192,0.3808806538581848
312,0.5789804458618164,1.313266634941101,0.9311514496803284,3.383883476257324
313,-0.7522062063217163,-1.0768014192581177,-0.3696514666080475,-0.4213450253009796
314,-0.6451853513717651,-0.6601149439811707,0.7001617550849915,-0.7259870767593384
